event_time_k,coef,std_err,p_value,ci_low,ci_high
-12,-2.888,4.349,0.507,-11.412,5.637
-11,-0.584,1.878,0.756,-4.265,3.098
-10,-2.146,4.878,0.66,-11.707,7.414
-9,-1.744,3.377,0.605,-8.363,4.874
-8,0.595,3.194,0.852,-5.664,6.855
-7,-1.327,2.655,0.617,-6.532,3.878
-6,-1.281,2.992,0.669,-7.145,4.584
-5,-2.134,2.157,0.323,-6.362,2.095
-4,-1.81,2.504,0.47,-6.718,3.098
-3,0.213,2.325,0.927,-4.343,4.769
-2,1.053,2.707,0.697,-4.254,6.359
-1,0.0,,,0.0,0.0
0,0.767,2.594,0.768,-4.317,5.851
1,1.254,2.554,0.623,-3.751,6.26
2,-2.664,2.765,0.335,-8.082,2.755
3,-1.897,2.336,0.417,-6.475,2.682
4,-2.798,2.48,0.259,-7.658,2.063
5,-2.432,2.648,0.358,-7.621,2.757
6,-3.557,2.201,0.106,-7.871,0.758
7,-1.065,2.269,0.639,-5.514,3.383
8,-2.566,2.617,0.327,-7.696,2.563
9,1.033,2.961,0.727,-4.771,6.836
10,-2.001,1.961,0.307,-5.844,1.842
11,-2.281,1.339,0.088,-4.906,0.343
12,-3.153,3.654,0.388,-10.314,4.008
13,-2.839,2.461,0.249,-7.662,1.984
14,-1.102,2.505,0.66,-6.012,3.808
15,-1.237,1.069,0.247,-3.331,0.858
16,-1.773,2.13,0.405,-5.948,2.402
17,-1.779,2.719,0.513,-7.108,3.55
18,-1.761,2.691,0.513,-7.036,3.513
19,-2.009,2.6,0.44,-7.105,3.087
20,-0.495,3.328,0.882,-7.018,6.029
21,-1.659,2.223,0.456,-6.015,2.698
22,-1.527,2.314,0.509,-6.062,3.008
23,-1.729,1.756,0.325,-5.172,1.713
24,-1.975,1.803,0.273,-5.509,1.558
